标志,ID,人物,位置,内容,跳转,效果,目标,选项
#,41,,,你激动地自说自话，如果不是奶牛猫在一旁戳戳你，你全然忘记了面前是个身上带有血腥味的危险男人。,42,,,
#,42,,,他正保持着左手抓住药剂瓶的姿势，没有丝毫动摇。,43,,,
#,43,你,右,先生，我可以免费为你提供一瓶“清新药剂”，,44,,,
#,44,你,右,相对的，你可以跟我说说你这条机械臂的事情吗？,45,,,
#,45,？？？,左,我恐怕这并不方便。,46,,,
#,46,,,斗篷男收回了手臂，声线恢复了刚刚的低沉。,47,,,
#,47,？？？,左,我是个雇佣兵，过多的信息会让我暴露在危险中。,48,,,
#,48,？？？,左,还请见谅。,49,,,
#,49,？？？,左,如果你需要那株药草的话，之前的条件依然有效，,50,,,
#,50,？？？,左,我现在就可以出发。,51,,,
#,51,你,右,哦那……好吧，你先试试吧。,52,,,
#,52,,,你注意到斗篷男微微震了一下，但是只有一瞬。,53,,,
#,53,,,他用机械指头挑开了药剂瓶上的软木塞，,54,,,
#,54,,,送入了那仿佛深不见底的斗篷中，,55,,,
#,55,,,只一会儿，你明显感觉那些血腥味轻了一些。,56,,,
#,56,？？？,左,这药剂……,57,,,
#,57,？？？,左,非常出色……,58,,,
#,58,,,那条机械臂将药剂瓶轻轻地放在桌子上，又将软木塞塞回原处。,59,,,
#,59,你,右,那当然了！我可是天才！,60,,,
#,60,,,你露出骄傲的神色，但是面前的斗篷男并没有做出更多的动作。,61,,,
#,61,,,就在现场气氛有些尴尬的时候，他先开了口,62,,,
#,62,？？？,左,我为我之前的失礼表示抱歉。,63,,,
#,63,,,他冲你微鞠一躬,64,,,
#,64,？？？,左,如你所见，我是一名雇佣兵，,65,,,
#,65,？？？,左,职业所迫，我的确不能向你透露太多的信息，,66,,,
#,66,？？？,左,不过……,67,,,
#,67,？？？,左,如果有机会，我可以为你讲讲外面的事。,68,,,
#,68,你,右,一言为定！,69,,,
#,69,？？？,左,那么麻烦你为我准备一下“清新药剂”，相对的，,70,,,
#,70,？？？,左,我会为你带来你需要的药草。,71,,,
#,71,奶牛猫,右,还有你的故事！,72,,,
#,72,你,右,对对对！,73,,,
#,73,？？？,左,……,74,,,
#,74,？？？,左,好的。,75,,,
#,75,,,你在地图上为斗篷男画出了药草大致的位置和外观，并写了一些注意事项。,76,,,
#,76,？？？,左,那么我先告辞了。,77,,,
#,77,,,当他转身准备出门时，你想到了些什么,78,,,
#,78,你,右,哎，先生等下，我还没问你叫什么名字呢！,79,,,
#,79,？？？,左,……,80,,,
#,80,？？？,左,……,81,,,
#,81,？？？,左,……,82,,,
#,82,？？？,左,叫我约翰就可以了。,83,,,
#,83,你,右,约翰？哈哈哈好土的名字，哈哈哈哈,84,,,
#,84,你,右,哈哈哈哈哈哈，,85,,,
#,85,你,右,哈哈哈，,86,,,
#,86,你,右,啊，,87,,,
#,87,你,右,对不起……,88,,,
#,88,约翰,左,没关系，,89,,,
#,89,约翰,左,这本就是我的名字，毫不起眼。,90,,,
#,90,约翰,左,……,91,,,
#,91,约翰,左,……,92,,,
#,92,约翰,左,那我先告辞了，,93,,,
#,93,约翰,左,非常感谢您。,94,,,
#,94,,,约翰转身出门以后，奶牛猫从你的帽子上跳下来，在前台上缩成一个团,95,,,
#,95,奶牛猫,右,希望你以后被自己笨死的时候，,96,,,
#,96,奶牛猫,右,看到的不是铅笔、十字架、竖锯或者机器人什么的。,97,,,
#,97,,,她的确会经常说出一些让你莫名其妙的话来。,98,,,
#,98,奶牛猫,右,刚刚你也注意到了吧，,99,,,
#,99,奶牛猫,右,普通的清新药剂对他来说好像差了点意思，,100,,,
#,100,奶牛猫,右,血腥味并没有完全消除，,101,,,
#,101,奶牛猫,右,回头给他加点量吧。,102,,,
#,102,你,左,好。,103,,,
END,103,,,,,,,
#,104,约翰,左,这次我会用火把她烧得一干二净。,105,,,
#,105,约翰,左,她死了，我身上的诅咒一定就能解除了。,106,,,
#,106,你,右,那为什么你不直接找更厉害的人帮你解除诅咒呢？,107,,,
#,107,你,右,你既然能弄到这么厉害的机械臂，,108,,,
#,108,你,右,应该也能遇到强大的魔法师帮你去除诅咒吧？,109,,,
#,109,约翰,左,因为我想复仇，但，恐怕现在的我还做不到。,110,,,
#,110,约翰,左,事实上，当年偷袭成功存在的大量侥幸的成分，,111,,,
#,111,约翰,左,我甚至认为那是她故意让我得手的，,112,,,
#,112,约翰,左,好让我成为她的实验对象，,113,,,
#,113,约翰,左,现在的我完全无法确定是否能顺利杀死她，,114,,,
#,114,约翰,左,更何况……,115,,,
#,115,约翰,左,她给我的诅咒，某种意义上为我提供了一些战斗力，,116,,,
#,116,约翰,左,如果破除了诅咒，我就更没有办法杀死她了。,117,,,
#,117,你,右,……哎呀这也不行那也不行，你到底想怎么样嘛！,118,,,
#,118,约翰,左,我会来到这个森林，是因为公会介绍了一个人给我，,119,,,
#,119,约翰,左,他告诉我，虽然他不知道海克斯在哪里，,120,,,
#,120,约翰,左,但是只要我来到这个森林，就一定能找到她的线索，,121,,,
#,121,约翰,左,没准她就躲在这里。,122,,,
#,122,约翰,左,后来，他帮助我完成了一个献祭仪式，,123,,,
#,123,约翰,左,我还特地为此祭出了我身上最珍贵的一块宝石。,124,,,
#,124,约翰,左,说实话，从进入这个森林起，,125,,,
#,125,约翰,左,我从来没有哪一次像现在一样有强烈的预感，,126,,,
#,126,约翰,左,我觉得她就在这个森林里，甚至，就在附近，,127,,,
#,127,约翰,左,但……,128,,,
#,128,约翰,左,但是……,129,,,
#,129,你,右,但是？,130,,,
#,130,约翰,左,但是我不确定能不能战胜她。,131,,,
#,131,你,右,这个时候还在纠结这个问题？,132,,,
#,132,你,右,我还以为你时刻做好了与她战斗的准备。,133,,,
#,133,约翰,左,是不错，如果她出现了，我随时都可以战斗，,134,,,
#,134,约翰,左,可……,135,,,
#,135,约翰,左,……,136,,,
#,136,约翰,左,可你不知道，,137,,,
#,137,约翰,左,自从她对我下过诅咒，,138,,,
#,138,约翰,左,我每天每夜都在做噩梦，,139,,,
#,139,约翰,左,在梦里，她会用各种手段折磨我，拿我做实验，,140,,,
#,140,约翰,左,她不想让我死，又想用这种方式把我逼疯，,141,,,
#,141,约翰,左,日复一日，年复一年。,142,,,
#,142,约翰,左,有时候我甚至觉得，失眠，才是睡得最好的夜晚。,143,,,
#,143,你,右,天天如此啊……这真可怕，,144,,,
#,144,你,右,难怪你说你不确定能不能战胜她，,145,,,
#,145,你,右,这样的精神折磨换成是我，我早疯了。,146,,,
#,146,你,右,也亏你能承受得过来。,147,,,
#,147,约翰,左,对，所以实际上，,148,,,
#,148,约翰,左,我无法断定当我面对她时，,149,,,
#,149,约翰,左,有没有击败她的实力，甚至有没有击败她的勇气，,150,,,
#,150,约翰,左,就算无法打败她，我也想死死咬着她，,151,,,
#,151,约翰,左,再耗下去，就算是我这副身体，,152,,,
#,152,约翰,左,总有一天也会被她耗死。,153,,,
#,153,,,奶牛猫在一旁打了个哈欠。,154,,,
#,154,奶牛猫,右,说了这么多，你不就是不确定能不能打败那个叫哈克斯的巫婆么。,155,,,
#,155,奶牛猫,右,如果是这个事情的话，那这家伙确实可以帮到你。,156,,,
#,156,你,右,对，我刚刚也想到了，我可以为你占卜。,157,,,
#,157,约翰,左,占卜？塔罗牌吗？,158,,,
#,158,你,右,对呀，占卜，我可以帮你卜出你和她的战斗过程是否顺利，,159,,,
#,159,你,右,这样多少也会增加你的信心吧！,160,,,
#,160,你,右,赶紧，这就开始！,161,,,
#,161,,,占卜开始,162,,,
&,162,,,愚者、月亮、战车,166,,,选项1
&,163,,,死神、太阳、倒吊,199,,,选项2
&,164,,,星星、高塔、世界,229,,,选项3
&,165,,,正位的愚者,166,,,选项1内容
&,166,你,右,这张牌面上描绘的是一名双目朝天，仰头张望，充满了自信的人，,167,,,选项1内容
&,167,你,右,他全然没发现脚下就是悬崖，面前就是危险，,168,,,选项1内容
&,168,你,右,面对这场危险的战斗，我想你也是如此吧，,169,,,选项1内容
&,169,你,右,不过他本身表现的其实是大智若愚，,170,,,选项1内容
&,170,你,右,你这么做可能有你自己的理由，,171,,,选项1内容
&,171,你,右,你或许做了很充足的准备，但很可能还不够；,172,,,选项1内容
&,172,你,右,边上的小狗不停在冲他吠鸣，,173,,,选项1内容
&,173,你,右,这或许是你的潜意识在通过某些你不易察觉的方式提醒你，,174,,,选项1内容
&,174,你,右,危险就在眼前。,175,,,选项1内容
&,175,,,正位的月亮,176,,,选项1内容
&,176,你,右,这张牌面上描绘的是野兽对着月亮嚎叫，,177,,,选项1内容
&,177,你,右,月亮是连接精神世界的桥梁，,178,,,选项1内容
&,178,你,右,当满月出现时，,179,,,选项1内容
&,179,你,右,人们知道它马上就要亏损了，心中自然产生不安的情绪，,180,,,选项1内容
&,180,你,右,这应该就是你对这场战斗的感受。,181,,,选项1内容
&,181,你,右,野兽脚下的龙虾代表着你的潜意识，,182,,,选项1内容
&,182,你,右,它想要朝着月亮前去，,183,,,选项1内容
&,183,你,右,就只能朝着一方前进，爬上高塔，,184,,,选项1内容
&,184,你,右,左边的狼代表不受控制的危险本能，,185,,,选项1内容
&,185,你,右,右边的狗代表加以约束的意识力量，,186,,,选项1内容
&,186,你,右,不论是哪一边，这些因素都对你产生了极大的影响，,187,,,选项1内容
&,187,你,右,这或许使你开始犹豫，开始胆怯。,188,,,选项1内容
&,188,,,逆位的战车,189,,,选项1内容
&,189,你,右,这张牌面上描绘的是能够克服重重困难，获得胜利的王者战车，,190,,,选项1内容
&,190,你,右,两只狮身人面兽在前方拉动着这辆战车，,191,,,选项1内容
&,191,你,右,这本应是象征胜利的一幅画面，,192,,,选项1内容
&,192,你,右,然而抽的这张牌却处于逆位，,193,,,选项1内容
&,193,你,右,本应牢牢掌握力量的勇士此时却被其所驾驭的狮身人面兽逆袭，,194,,,选项1内容
&,194,你,右,这预示着你在战斗中很可能会因为意志力不够而被情绪冲昏头脑，,195,,,选项1内容
&,195,你,右,进而无法有效控制你的力量。,196,,,选项1内容
&,196,你,右,我想你很可能会在见到她以后，无法抑制自己的冲动，,197,,,选项1内容
&,197,你,右,从而将自己引向败局。,266,,,选项1内容
&,198,,,正位的死神,199,,,选项2内容
&,199,你,右,死神，死亡的判决者，,200,,,选项2内容
&,200,你,右,举着他胜利的旗帜，高傲地看向面前的生灵，,201,,,选项2内容
&,201,你,右,看来这场战斗对你来说凶多吉少；,202,,,选项2内容
&,202,你,右,但死神代表更多的是某种意义上的终结，,203,,,选项2内容
&,203,你,右,可以说是每一天的结束，每一分的流逝，每一秒的消亡，甚至是某个事件的终止，,204,,,选项2内容
&,204,你,右,这或许对你来说是件好事，,205,,,选项2内容
&,205,你,右,这大概会让你和她之间的事做个了断。,206,,,选项2内容
&,206,你,右,无论如何，死神势不可挡，改变不可逆转，,207,,,选项2内容
&,207,你,右,你不可能永远保持着追逐她的状态，,208,,,选项2内容
&,208,你,右,你该面对的是如何接受改变，面对她，战胜她。,209,,,选项2内容
&,209,,,正位的太阳,210,,,选项2内容
&,210,你,右,正位的死亡后立马抽中了正位的太阳，,211,,,选项2内容
&,211,你,右,这是张好牌！,212,,,选项2内容
&,212,你,右,它象征着知识与活力。,213,,,选项2内容
&,213,你,右,一个满脸稚气的孩子骑在高头大马上，从灰色的围墙中一跃而出，,214,,,选项2内容
&,214,你,右,他的头上有一圈和愚人与死神一样的花环，,215,,,选项2内容
&,215,你,右,代表着超越死亡重获新生，,216,,,选项2内容
&,216,你,右,你大概能在这场战斗中逆转乾坤。,217,,,选项2内容
&,217,你,右,不过需要注意的是，,218,,,选项2内容
&,218,你,右,这个孩子并没有驻足墙外花园的美好，而是奔向了更远方的未知世界，,219,,,选项2内容
&,219,你,右,这场战斗或许并不是你的终点，,220,,,选项2内容
&,220,你,右,可能还有别的事情等带你去发现。,221,,,选项2内容
&,221,,,逆位的倒吊,222,,,选项2内容
&,222,你,右,这个牌面描绘的是一名年轻的男子被反绑倒吊在树干上，双脚的形状代表一个炼金符号，,223,,,选项2内容
&,223,你,右,红色的外裤、蓝色的上衣、头上金色的光环分别代表着身心灵三层境界，,224,,,选项2内容
&,224,你,右,暗含着由低层欲望向道德升华的过程，,225,,,选项2内容
&,225,你,右,倒吊本代表着处于本心的崇高牺牲，,226,,,选项2内容
&,226,你,右,可逆位的倒吊代表着目标达到的解脱，且道德与欲望的过程颠倒，,227,,,选项2内容
&,227,你,右,你或许会为了达到你的目的，不惜放弃思考，任由自己堕落，,228,,,选项2内容
&,228,你,右,这很可能会导致失败，或者重蹈覆辙，做出无谓的牺牲。,266,,,选项2内容
&,229,,,正位的星星,230,,,选项3内容
&,230,你,右,这个牌面是七颗小星围着一颗大星，,231,,,选项3内容
&,231,你,右,星空下，一个女人将代表生命的水倾倒在池中与岸上，,232,,,选项3内容
&,232,你,右,这些水孕育了地球上的所有生命，,233,,,选项3内容
&,233,你,右,是积极和希望的象征。,234,,,选项3内容
&,234,你,右,但这种感觉并不稳固，,235,,,选项3内容
&,235,你,右,缺乏物质和现实，是隐隐中的虚幻感受，,236,,,选项3内容
&,236,你,右,这可能意味着她并没有出现在你的周围，你只是臆想她身处这座森林。,237,,,选项3内容
&,237,你,右,不过说到底，星星始终是一张能给人带去希望的牌，,238,,,选项3内容
&,238,你,右,我想它是在暗示着你，不应该放弃希望，,239,,,选项3内容
&,239,你,右,或许那个巫婆只是隐去了自己的身形，想偷袭你也说不定，,240,,,选项3内容
&,240,你,右,你最好保持警觉。,241,,,选项3内容
&,241,,,正位的高塔,242,,,选项3内容
&,242,你,右,哦这并不是一张好牌，,243,,,选项3内容
&,243,你,右,原本巍然屹立的宏伟高塔，却被一道突来的闪电击中而崩溃燃烧起来，,244,,,选项3内容
&,244,你,右,而这雷鸣电闪恰是神的愤怒与制裁，,245,,,选项3内容
&,245,你,右,这预示这你们之间的战斗会产生巨大的变化与破坏力。,246,,,选项3内容
&,246,你,右,高塔上掉落了两名男子，,247,,,选项3内容
&,247,你,右,一名是天子，一名是圣职者，,248,,,选项3内容
&,248,你,右,象征着权力、财富、成就等，,249,,,选项3内容
&,249,你,右,但无论是什么，最终都会毁于一旦，,250,,,选项3内容
&,250,你,右,正像你们两位一样，这场战斗注定对双方都不会有好结果。,251,,,选项3内容
&,251,你,右,虽然有时候，我们认为这张牌传达的并不是真正的毁灭，,252,,,选项3内容
&,252,你,右,而是对我们心中的恐惧将毁灭无限放大了，,253,,,选项3内容
&,253,你,右,但我不觉得这是个让你可以放下戒备的理由。,254,,,选项3内容
&,254,,,逆位的世界,255,,,选项3内容
&,255,你,右,这张牌描绘了一名少女双手各拿着一把钥匙，,256,,,选项3内容
&,256,你,右,穿过月桂花环，翩翩起舞，,257,,,选项3内容
&,257,你,右,引领胜利者走入智慧之门，,258,,,选项3内容
&,258,你,右,完成旅途，重新变回愚者，,259,,,选项3内容
&,259,你,右,象征着永久与持续成功。,260,,,选项3内容
&,260,你,右,他的本意是“达成”，,261,,,选项3内容
&,261,你,右,但遗憾的是，你抽到了他的逆位，,262,,,选项3内容
&,262,你,右,预示着你得到了想要的东西，结果发现它并不能让你满意，,263,,,选项3内容
&,263,你,右,这张逆位的世界或许正是在告诉你，,264,,,选项3内容
&,264,你,右,你的这场战斗，缺少了关键性的东西，,265,,,选项3内容
&,265,你,右,这使你永远离终点只差一步。,266,,,选项3内容
#,266,,,占卜结束,267,,,
#,267,你,右,这么看来，你和她的战斗，并不会顺利，,268,,,
#,268,你,右,而且……,269,,,
#,269,你,右,胜算也很难看。,270,,,
#,270,约翰,左,……,271,,,
#,271,约翰,左,……,272,,,
#,272,约翰,左,……,273,,,
#,273,约翰,左,结果还是这样啊……,274,,,
#,274,奶牛猫,右,我倒觉得没那么麻烦。,275,,,
#,275,,,你和约翰都看向了奶牛猫,276,,,
#,276,奶牛猫,右,从占卜结果来看，你的无非是输在精神上，,277,,,
#,277,奶牛猫,右,犹豫、恐惧、情绪化，,278,,,
#,278,奶牛猫,右,这些都会导致你在速度上落入下风。,279,,,
#,279,奶牛猫,右,魔法的力量是强大的，但是缺点也很明显，,280,,,
#,280,奶牛猫,右,需要咏唱，很容易被打断，所以她会选择躲藏，,281,,,
#,281,奶牛猫,右,而你当了这么久的雇佣兵，,282,,,
#,282,奶牛猫,右,那战斗的时候定位敌人的位置对你来说不难吧？,283,,,
#,283,奶牛猫,右,在她躲起来的时候，如果你能克服这些问题，,284,,,
#,284,奶牛猫,右,或者干脆，只要在速度上比她快得多的话，,285,,,
#,285,奶牛猫,右,就可以持续打断她的施法，,286,,,
#,286,奶牛猫,右,那对付她就容易得多了。,287,,,
#,287,约翰,左,真不可思议，我居然会需要想象在速度上落入敌人下风的情景……,288,,,
#,288,约翰,左,不过总体听上去的确很有说服力。,289,,,
#,289,你,右,所以说他需要的是“速度增强药剂”喽？,290,,,
#,290,约翰,左,看来是这样的。,291,,,
#,291,你,右,那好嘞，我这就着手准备，,292,,,
#,292,你,右,不过要给我30枚银币，,293,,,
#,293,你,右,对你来说应该不是问题吧！,294,,,
#,294,你,右,可以的话就过段时间来拿吧！,295,,,
#,295,约翰,左,好的。,296,,,
#,296,约翰,左,感谢二位……,297,,,
#,297,约翰,左,我……,298,,,
#,298,约翰,左,很久没有跟人这么聊天了。,299,,,
#,299,约翰,左,谢谢。,300,,,
#,300,你,右,哈哈没关系，我也很久没有听到过外面的故事了！,301,,,
#,301,约翰,左,那么我先告辞了。,302,,,
#,302,约翰,左,这几天我先在附近转转，,303,,,
#,303,约翰,左,过段时间再来。,304,,,
#,304,,,约翰深鞠一躬，转身出门,305,,,
END,305,,,,,,,
