标志,ID,人物,位置,内容,跳转,效果,目标
#,41,,,你激动地自说自话，如果不是奶牛猫在一旁戳戳你，你全然忘记了面前是个身上带有血腥味的危险男人。,42,,
#,42,,,他正保持着左手抓住药剂瓶的姿势，没有丝毫动摇。,43,,
#,43,你,右,先生，我可以免费为你提供一瓶“清新药剂”，,44,,
#,44,你,右,相对的，你可以跟我说说你这条机械臂的事情吗？,45,,
#,45,？？？,左,我恐怕这并不方便。,46,,
#,46,,,斗篷男收回了手臂，声线恢复了刚刚的低沉。,47,,
#,47,？？？,左,我是个雇佣兵，过多的信息会让我暴露在危险中。,48,,
#,48,？？？,左,还请见谅。,49,,
#,49,？？？,左,如果你需要那株药草的话，之前的条件依然有效，,50,,
#,50,？？？,左,我现在就可以出发。,51,,
#,51,你,右,哦那……好吧，你先试试吧。,52,,
#,52,,,你注意到斗篷男微微震了一下，但是只有一瞬。,53,,
#,53,,,他用机械指头挑开了药剂瓶上的软木塞，,54,,
#,54,,,送入了那仿佛深不见底的斗篷中，,55,,
#,55,,,只一会儿，你明显感觉那些血腥味轻了一些。,56,,
#,56,？？？,左,这药剂……,57,,
#,57,？？？,左,非常出色……,58,,
#,58,,,那条机械臂将药剂瓶轻轻地放在桌子上，又将软木塞塞回原处。,59,,
#,59,你,右,那当然了！我可是天才！,60,,
#,60,,,你露出骄傲的神色，但是面前的斗篷男并没有做出更多的动作。,61,,
#,61,,,就在现场气氛有些尴尬的时候，他先开了口,62,,
#,62,？？？,左,我为我之前的失礼表示抱歉。,63,,
#,63,,,他冲你微鞠一躬,64,,
#,64,？？？,左,如你所见，我是一名雇佣兵，,65,,
#,65,？？？,左,职业所迫，我的确不能向你透露太多的信息，,66,,
#,66,？？？,左,不过……,67,,
#,67,？？？,左,如果有机会，我可以为你讲讲外面的事。,68,,
#,68,你,右,一言为定！,69,,
#,69,？？？,左,那么麻烦你为我准备一下“清新药剂”，相对的，,70,,
#,70,？？？,左,我会为你带来你需要的药草。,71,,
#,71,奶牛猫,右,还有你的故事！,72,,
#,72,你,右,对对对！,73,,
#,73,？？？,左,……,74,,
#,74,？？？,左,好的。,75,,
#,75,,,你在地图上为斗篷男画出了药草大致的位置和外观，并写了一些注意事项。,76,,
#,76,？？？,左,那么我先告辞了。,77,,
#,77,,,当他转身准备出门时，你想到了些什么,78,,
#,78,你,右,哎，先生等下，我还没问你叫什么名字呢！,79,,
#,79,？？？,左,……,80,,
#,80,？？？,左,……,81,,
#,81,？？？,左,……,82,,
#,82,？？？,左,叫我约翰就可以了。,83,,
#,83,你,右,约翰？哈哈哈好土的名字，哈哈哈哈,84,,
#,84,你,右,哈哈哈哈哈哈，,85,,
#,85,你,右,哈哈哈，,86,,
#,86,你,右,啊，,87,,
#,87,你,右,对不起……,88,,
#,88,约翰,左,没关系，,89,,
#,89,约翰,左,这本就是我的名字，毫不起眼。,90,,
#,90,约翰,左,……,91,,
#,91,约翰,左,……,92,,
#,92,约翰,左,那我先告辞了，,93,,
#,93,约翰,左,非常感谢您。,94,,
#,94,,,约翰转身出门以后，奶牛猫从你的帽子上跳下来，在前台上缩成一个团,95,,
#,95,奶牛猫,右,希望你以后被自己笨死的时候，,96,,
#,96,奶牛猫,右,看到的不是铅笔、十字架、竖锯或者机器人什么的。,97,,
#,97,,,她的确会经常说出一些让你莫名其妙的话来。,98,,
#,98,奶牛猫,右,刚刚你也注意到了吧，,99,,
#,99,奶牛猫,右,普通的清新药剂对他来说好像差了点意思，,100,,
#,100,奶牛猫,右,血腥味并没有完全消除，,101,,
#,101,奶牛猫,右,回头给他加点量吧。,102,,
#,102,你,左,好。,103,,
END,103,,,,,,
